River,Site,Location,TagNo,Depth,Class,RootProd
Waccamaw,Upper,1,101,U,Lf,22.867
Waccamaw,Upper,1,101,U,Lx,73.135
Waccamaw,Upper,1,101,U,D,55.564
Waccamaw,Upper,1,101,M,Lf,9.778
Waccamaw,Upper,1,101,M,Lx,0.000
Waccamaw,Upper,1,101,M,D,52.457
Waccamaw,Upper,1,101,B,Lf,101.095
Waccamaw,Upper,1,101,B,Lx,93.506
Waccamaw,Upper,1,101,B,D,54.953
Waccamaw,Upper,2,103,U,Lf,65.648
Waccamaw,Upper,2,103,U,Lx,0.000
Waccamaw,Upper,2,103,U,D,49.860
Waccamaw,Upper,2,103,M,Lf,24.090
Waccamaw,Upper,2,103,M,Lx,0.000
Waccamaw,Upper,2,103,M,D,31.831
Waccamaw,Upper,2,103,B,Lf,63.713
Waccamaw,Upper,2,103,B,Lx,19.404
Waccamaw,Upper,2,103,B,D,58.212
Waccamaw,Upper,3,105,U,Lf,29.132
Waccamaw,Upper,3,105,U,Lx,0.000
Waccamaw,Upper,3,105,U,D,143.774
Waccamaw,Upper,3,105,M,Lf,38.554
Waccamaw,Upper,3,105,M,Lx,0.000
Waccamaw,Upper,3,105,M,D,67.736
Waccamaw,Upper,3,105,B,Lf,42.271
Waccamaw,Upper,3,105,B,Lx,0.000
Waccamaw,Upper,3,105,B,D,99.873
Waccamaw,Upper,4,107,U,Lf,13.547
Waccamaw,Upper,4,107,U,Lx,0.000
Waccamaw,Upper,4,107,U,D,107.970
Waccamaw,Upper,4,107,M,Lf,3.718
Waccamaw,Upper,4,107,M,Lx,0.000
Waccamaw,Upper,4,107,M,D,102.572
Waccamaw,Upper,4,107,B,Lf,30.099
Waccamaw,Upper,4,107,B,Lx,0.000
Waccamaw,Upper,4,107,B,D,33.257
Waccamaw,Upper,5,109,U,Lf,235.039
Waccamaw,Upper,5,109,U,Lx,102.368
Waccamaw,Upper,5,109,U,D,35.956
Waccamaw,Upper,5,109,M,Lf,103.285
Waccamaw,Upper,5,109,M,Lx,0.000
Waccamaw,Upper,5,109,M,D,93.659
Waccamaw,Upper,5,109,B,Lf,23.275
Waccamaw,Upper,5,109,B,Lx,12.070
Waccamaw,Upper,5,109,B,D,32.900
Waccamaw,Upper,6,111,U,Lf,35.039
Waccamaw,Upper,6,111,U,Lx,0.000
Waccamaw,Upper,6,111,U,D,37.382
Waccamaw,Upper,6,111,M,Lf,44.563
Waccamaw,Upper,6,111,M,Lx,0.000
Waccamaw,Upper,6,111,M,D,53.425
Waccamaw,Upper,6,111,B,Lf,29.386
Waccamaw,Upper,6,111,B,Lx,0.000
Waccamaw,Upper,6,111,B,D,42.883
Waccamaw,Upper,7,113,U,Lf,4.074
Waccamaw,Upper,7,113,U,Lx,0.000
Waccamaw,Upper,7,113,U,D,69.722
Waccamaw,Upper,7,113,M,Lf,5.704
Waccamaw,Upper,7,113,M,Lx,0.000
Waccamaw,Upper,7,113,M,D,30.150
Waccamaw,Upper,7,113,B,Lf,44.410
Waccamaw,Upper,7,113,B,Lx,0.000
Waccamaw,Upper,7,113,B,D,68.245
Waccamaw,Upper,8,115,U,Lf,13.394
Waccamaw,Upper,8,115,U,Lx,.
Waccamaw,Upper,8,115,U,D,18.844
Waccamaw,Upper,8,115,M,Lf,10.899
Waccamaw,Upper,8,115,M,Lx,0.000
Waccamaw,Upper,8,115,M,D,15.075
Waccamaw,Upper,8,115,B,Lf,22.613
Waccamaw,Upper,8,115,B,Lx,0.000
Waccamaw,Upper,8,115,B,D,14.719
Waccamaw,Upper,9,117,U,Lf,57.092
Waccamaw,Upper,9,117,U,Lx,0.000
Waccamaw,Upper,9,117,U,D,69.162
Waccamaw,Upper,9,117,M,Lf,41.457
Waccamaw,Upper,9,117,M,Lx,41.100
Waccamaw,Upper,9,117,M,D,42.017
Waccamaw,Upper,9,117,B,Lf,92.895
Waccamaw,Upper,9,117,B,Lx,0.000
Waccamaw,Upper,9,117,B,D,56.684
Waccamaw,Upper,10,119,U,Lf,15.788
Waccamaw,Upper,10,119,U,Lx,53.272
Waccamaw,Upper,10,119,U,D,33.308
Waccamaw,Upper,10,119,M,Lf,27.807
Waccamaw,Upper,10,119,M,Lx,0.000
Waccamaw,Upper,10,119,M,D,52.967
Waccamaw,Upper,10,119,B,Lf,43.748
Waccamaw,Upper,10,119,B,Lx,0.000
Waccamaw,Upper,10,119,B,D,21.747
Waccamaw,Middle,1,121,U,Lf,159.766
Waccamaw,Middle,1,121,U,Lx,0.000
Waccamaw,Middle,1,121,U,D,41.711
Waccamaw,Middle,1,121,M,Lf,25.312
Waccamaw,Middle,1,121,M,Lx,0.000
Waccamaw,Middle,1,121,M,D,74.001
Waccamaw,Middle,1,121,B,Lf,18.233
Waccamaw,Middle,1,121,B,Lx,0.000
Waccamaw,Middle,1,121,B,D,50.573
Waccamaw,Middle,2,123,U,Lf,51.795
Waccamaw,Middle,2,123,U,Lx,0.000
Waccamaw,Middle,2,123,U,D,46.550
Waccamaw,Middle,2,123,M,Lf,52.050
Waccamaw,Middle,2,123,M,Lx,0.000
Waccamaw,Middle,2,123,M,D,43.188
Waccamaw,Middle,2,123,B,Lf,49.962
Waccamaw,Middle,2,123,B,Lx,0.000
Waccamaw,Middle,2,123,B,D,34.174
Waccamaw,Middle,3,125,U,Lf,443.392
Waccamaw,Middle,3,125,U,Lx,0.000
Waccamaw,Middle,3,125,U,D,47.772
Waccamaw,Middle,3,125,M,Lf,155.640
Waccamaw,Middle,3,125,M,Lx,0.000
Waccamaw,Middle,3,125,M,D,17.265
Waccamaw,Middle,3,125,B,Lf,32.136
Waccamaw,Middle,3,125,B,Lx,0.000
Waccamaw,Middle,3,125,B,D,34.632
Waccamaw,Middle,4,127,U,Lf,202.190
Waccamaw,Middle,4,127,U,Lx,0.000
Waccamaw,Middle,4,127,U,D,47.670
Waccamaw,Middle,4,127,M,Lf,68.857
Waccamaw,Middle,4,127,M,Lx,0.000
Waccamaw,Middle,4,127,M,D,80.621
Waccamaw,Middle,4,127,B,Lf,22.664
Waccamaw,Middle,4,127,B,Lx,0.000
Waccamaw,Middle,4,127,B,D,40.845
Waccamaw,Middle,5,129,U,Lf,174.128
Waccamaw,Middle,5,129,U,Lx,0.000
Waccamaw,Middle,5,129,U,D,37.433
Waccamaw,Middle,5,129,M,Lf,47.059
Waccamaw,Middle,5,129,M,Lx,0.000
Waccamaw,Middle,5,129,M,D,27.247
Waccamaw,Middle,5,129,B,Lf,32.799
Waccamaw,Middle,5,129,B,Lx,29.997
Waccamaw,Middle,5,129,B,D,25.668
Waccamaw,Middle,6,131,U,Lf,87.497
Waccamaw,Middle,6,131,U,Lx,0.000
Waccamaw,Middle,6,131,U,D,20.270
Waccamaw,Middle,6,131,M,Lf,44.716
Waccamaw,Middle,6,131,M,Lx,0.000
Waccamaw,Middle,6,131,M,D,33.512
Waccamaw,Middle,6,131,B,Lf,16.246
Waccamaw,Middle,6,131,B,Lx,0.000
Waccamaw,Middle,6,131,B,D,16.603
Waccamaw,Middle,7,133,U,Lf,21.136
Waccamaw,Middle,7,133,U,Lx,0.000
Waccamaw,Middle,7,133,U,D,48.179
Waccamaw,Middle,7,133,M,Lf,82.251
Waccamaw,Middle,7,133,M,Lx,9.880
Waccamaw,Middle,7,133,M,D,31.933
Waccamaw,Middle,7,133,B,Lf,26.331
Waccamaw,Middle,7,133,B,Lx,0.000
Waccamaw,Middle,7,133,B,D,38.197
Waccamaw,Middle,8,134,U,Lf,97.683
Waccamaw,Middle,8,134,U,Lx,0.000
Waccamaw,Middle,8,134,U,D,41.100
Waccamaw,Middle,8,134,M,Lf,27.757
Waccamaw,Middle,8,134,M,Lx,0.000
Waccamaw,Middle,8,134,M,D,33.104
Waccamaw,Middle,8,134,B,Lf,14.820
Waccamaw,Middle,8,134,B,Lx,0.000
Waccamaw,Middle,8,134,B,D,63.203
Waccamaw,Middle,9,136,U,Lf,65.190
Waccamaw,Middle,9,136,U,Lx,4.431
Waccamaw,Middle,9,136,U,D,16.909
Waccamaw,Middle,9,136,M,Lf,37.688
Waccamaw,Middle,9,136,M,Lx,0.000
Waccamaw,Middle,9,136,M,D,40.744
Waccamaw,Middle,9,136,B,Lf,23.326
Waccamaw,Middle,9,136,B,Lx,0.000
Waccamaw,Middle,9,136,B,D,26.331
Waccamaw,Middle,10,139,U,Lf,70.079
Waccamaw,Middle,10,139,U,Lx,0.000
Waccamaw,Middle,10,139,U,D,31.678
Waccamaw,Middle,10,139,M,Lf,25.668
Waccamaw,Middle,10,139,M,Lx,0.000
Waccamaw,Middle,10,139,M,D,67.482
Waccamaw,Middle,10,139,B,Lf,12.121
Waccamaw,Middle,10,139,B,Lx,17.469
Waccamaw,Middle,10,139,B,D,36.160
Waccamaw,Lower,1,141,U,Lf,194.143
Waccamaw,Lower,1,141,U,Lx,1254.393
Waccamaw,Lower,1,141,U,D,72.014
Waccamaw,Lower,1,141,M,Lf,28.826
Waccamaw,Lower,1,141,M,Lx,13.445
Waccamaw,Lower,1,141,M,D,23.835
Waccamaw,Lower,1,141,B,Lf,32.086
Waccamaw,Lower,1,141,B,Lx,0.000
Waccamaw,Lower,1,141,B,D,12.121
Waccamaw,Lower,2,143,U,Lf,32.493
Waccamaw,Lower,2,143,U,Lx,0.000
Waccamaw,Lower,2,143,U,D,34.785
Waccamaw,Lower,2,143,M,Lf,32.442
Waccamaw,Lower,2,143,M,Lx,0.000
Waccamaw,Lower,2,143,M,D,20.372
Waccamaw,Lower,2,143,B,Lf,30.660
Waccamaw,Lower,2,143,B,Lx,0.000
Waccamaw,Lower,2,143,B,D,39.521
Waccamaw,Lower,3,145,U,Lf,57.805
Waccamaw,Lower,3,145,U,Lx,61.013
Waccamaw,Lower,3,145,U,D,82.404
Waccamaw,Lower,3,145,M,Lf,12.987
Waccamaw,Lower,3,145,M,Lx,0.000
Waccamaw,Lower,3,145,M,D,79.501
Waccamaw,Lower,3,145,B,Lf,10.186
Waccamaw,Lower,3,145,B,Lx,0.000
Waccamaw,Lower,3,145,B,D,69.264
Waccamaw,Lower,4,147,U,Lf,84.339
Waccamaw,Lower,4,147,U,Lx,0.000
Waccamaw,Lower,4,147,U,D,51.693
Waccamaw,Lower,4,147,M,Lf,77.260
Waccamaw,Lower,4,147,M,Lx,0.000
Waccamaw,Lower,4,147,M,D,7.232
Waccamaw,Lower,4,147,B,Lf,52.305
Waccamaw,Lower,4,147,B,Lx,0.000
Waccamaw,Lower,4,147,B,D,15.330
Waccamaw,Lower,5,149,U,Lf,163.382
Waccamaw,Lower,5,149,U,Lx,405.399
Waccamaw,Lower,5,149,U,D,68.653
Waccamaw,Lower,5,149,M,Lf,156.557
Waccamaw,Lower,5,149,M,Lx,2777.438
Waccamaw,Lower,5,149,M,D,42.628
Waccamaw,Lower,5,149,B,Lf,58.467
Waccamaw,Lower,5,149,B,Lx,0.000
Waccamaw,Lower,5,149,B,D,16.094
Waccamaw,Lower,6,151,U,Lf,104.354
Waccamaw,Lower,6,151,U,Lx,13.853
Waccamaw,Lower,6,151,U,D,77.922
Waccamaw,Lower,6,151,M,Lf,29.641
Waccamaw,Lower,6,151,M,Lx,0.000
Waccamaw,Lower,6,151,M,D,48.739
Waccamaw,Lower,6,151,B,Lf,20.728
Waccamaw,Lower,6,151,B,Lx,0.000
Waccamaw,Lower,6,151,B,D,33.104
Waccamaw,Lower,7,153,U,Lf,135.167
Waccamaw,Lower,7,153,U,Lx,1031.984
Waccamaw,Lower,7,153,U,D,44.461
Waccamaw,Lower,7,153,M,Lf,201.732
Waccamaw,Lower,7,153,M,Lx,259.537
Waccamaw,Lower,7,153,M,D,76.140
Waccamaw,Lower,7,153,B,Lf,127.426
Waccamaw,Lower,7,153,B,Lx,148.663
Waccamaw,Lower,7,153,B,D,163.840
Waccamaw,Lower,8,155,U,Lf,15.381
Waccamaw,Lower,8,155,U,Lx,0.000
Waccamaw,Lower,8,155,U,D,67.889
Waccamaw,Lower,8,155,M,Lf,12.223
Waccamaw,Lower,8,155,M,Lx,0.000
Waccamaw,Lower,8,155,M,D,19.506
Waccamaw,Lower,8,155,B,Lf,9.575
Waccamaw,Lower,8,155,B,Lx,0.000
Waccamaw,Lower,8,155,B,D,32.799
Waccamaw,Lower,9,157,U,Lf,21.594
Waccamaw,Lower,9,157,U,Lx,0.000
Waccamaw,Lower,9,157,U,D,6.570
Waccamaw,Lower,9,157,M,Lf,21.085
Waccamaw,Lower,9,157,M,Lx,12.121
Waccamaw,Lower,9,157,M,D,3.769
Waccamaw,Lower,9,157,B,Lf,33.257
Waccamaw,Lower,9,157,B,Lx,13.445
Waccamaw,Lower,9,157,B,D,1.986
Waccamaw,Lower,10,159,U,Lf,99.211
Waccamaw,Lower,10,159,U,Lx,0.000
Waccamaw,Lower,10,159,U,D,61.574
Waccamaw,Lower,10,159,M,Lf,15.635
Waccamaw,Lower,10,159,M,Lx,0.000
Waccamaw,Lower,10,159,M,D,21.747
Waccamaw,Lower,10,159,B,Lf,20.779
Waccamaw,Lower,10,159,B,Lx,0.000
Waccamaw,Lower,10,159,B,D,49.554
Waccamaw,Marsh,1,161,U,Lf,34.734
Waccamaw,Marsh,1,161,U,Lx,0.000
Waccamaw,Marsh,1,161,U,D,20.525
Waccamaw,Marsh,1,161,M,Lf,34.836
Waccamaw,Marsh,1,161,M,Lx,0.000
Waccamaw,Marsh,1,161,M,D,20.423
Waccamaw,Marsh,1,161,B,Lf,14.158
Waccamaw,Marsh,1,161,B,Lx,0.000
Waccamaw,Marsh,1,161,B,D,9.880
Waccamaw,Marsh,2,163,U,Lf,161.294
Waccamaw,Marsh,2,163,U,Lx,1259.180
Waccamaw,Marsh,2,163,U,D,19.506
Waccamaw,Marsh,2,163,M,Lf,44.665
Waccamaw,Marsh,2,163,M,Lx,0.000
Waccamaw,Marsh,2,163,M,D,1.171
Waccamaw,Marsh,2,163,B,Lf,14.260
Waccamaw,Marsh,2,163,B,Lx,0.000
Waccamaw,Marsh,2,163,B,D,1.732
Waccamaw,Marsh,3,165,U,Lf,152.687
Waccamaw,Marsh,3,165,U,Lx,0.000
Waccamaw,Marsh,3,165,U,D,82.404
Waccamaw,Marsh,3,165,M,Lf,25.363
Waccamaw,Marsh,3,165,M,Lx,0.000
Waccamaw,Marsh,3,165,M,D,47.517
Waccamaw,Marsh,3,165,B,Lf,14.973
Waccamaw,Marsh,3,165,B,Lx,0.000
Waccamaw,Marsh,3,165,B,D,22.409
Waccamaw,Marsh,4,167,U,Lf,198.217
Waccamaw,Marsh,4,167,U,Lx,1432.391
Waccamaw,Marsh,4,167,U,D,45.582
Waccamaw,Marsh,4,167,M,Lf,81.334
Waccamaw,Marsh,4,167,M,Lx,0.000
Waccamaw,Marsh,4,167,M,D,49.554
Waccamaw,Marsh,4,167,B,Lf,26.025
Waccamaw,Marsh,4,167,B,Lx,0.000
Waccamaw,Marsh,4,167,B,D,80.723
Waccamaw,Marsh,5,169,U,Lf,48.077
Waccamaw,Marsh,5,169,U,Lx,1056.226
Waccamaw,Marsh,5,169,U,D,69.926
Waccamaw,Marsh,5,169,M,Lf,30.710
Waccamaw,Marsh,5,169,M,Lx,0.000
Waccamaw,Marsh,5,169,M,D,17.214
Waccamaw,Marsh,5,169,B,Lf,22.816
Waccamaw,Marsh,5,169,B,Lx,0.000
Waccamaw,Marsh,5,169,B,D,76.547
Waccamaw,Marsh,6,171,U,Lf,465.292
Waccamaw,Marsh,6,171,U,Lx,827.807
Waccamaw,Marsh,6,171,U,D,25.719
Waccamaw,Marsh,6,171,M,Lf,87.904
Waccamaw,Marsh,6,171,M,Lx,0.000
Waccamaw,Marsh,6,171,M,D,96.308
Waccamaw,Marsh,6,171,B,Lf,37.026
Waccamaw,Marsh,6,171,B,Lx,0.000
Waccamaw,Marsh,6,171,B,D,49.605
Waccamaw,Marsh,7,173,U,Lf,68.958
Waccamaw,Marsh,7,173,U,Lx,989.712
Waccamaw,Marsh,7,173,U,D,73.287
Waccamaw,Marsh,7,173,M,Lf,29.335
Waccamaw,Marsh,7,173,M,Lx,0.000
Waccamaw,Marsh,7,173,M,D,74.306
Waccamaw,Marsh,7,173,B,Lf,25.668
Waccamaw,Marsh,7,173,B,Lx,0.000
Waccamaw,Marsh,7,173,B,D,23.275
Waccamaw,Marsh,8,175,U,Lf,130.940
Waccamaw,Marsh,8,175,U,Lx,0.000
Waccamaw,Marsh,8,175,U,D,38.655
Waccamaw,Marsh,8,175,M,Lf,34.887
Waccamaw,Marsh,8,175,M,Lx,0.000
Waccamaw,Marsh,8,175,M,D,25.057
Waccamaw,Marsh,8,175,B,Lf,41.864
Waccamaw,Marsh,8,175,B,Lx,0.000
Waccamaw,Marsh,8,175,B,D,0.000
Waccamaw,Marsh,9,177,U,Lf,32.187
Waccamaw,Marsh,9,177,U,Lx,315.457
Waccamaw,Marsh,9,177,U,D,29.692
Waccamaw,Marsh,9,177,M,Lf,44.614
Waccamaw,Marsh,9,177,M,Lx,0.000
Waccamaw,Marsh,9,177,M,D,47.670
Waccamaw,Marsh,9,177,B,Lf,35.956
Waccamaw,Marsh,9,177,B,Lx,15.839
Waccamaw,Marsh,9,177,B,D,54.444
Waccamaw,Marsh,10,179,U,Lf,135.320
Waccamaw,Marsh,10,179,U,Lx,0.000
Waccamaw,Marsh,10,179,U,D,13.904
Waccamaw,Marsh,10,179,M,Lf,56.939
Waccamaw,Marsh,10,179,M,Lx,0.000
Waccamaw,Marsh,10,179,M,D,51.592
Waccamaw,Marsh,10,179,B,Lf,32.187
Waccamaw,Marsh,10,179,B,Lx,0.000
Waccamaw,Marsh,10,179,B,D,82.557
