genus,species,citation_code,min_diameter_cm,max_diameter_cm,term,input_units,output_units,equation_form,parameter_1,parameter_2
Acer,rubrum,clark_et_al_1995,10,28,1,inches,pounds,1,2.39959,1.2003
Carya,spp,clark_et_al_1995,10,28,1,inches,pounds,1,3.0015,1.20454
Carya,spp,clark_et_al_1995,28,Inf,1,inches,pounds,1,1.62114,1.33298
Celtis,spp,schlaegel_1984a,10,Inf,1,inches,pounds,3,1.25157,0.566
Fraxinus,spp,clark_et_al_1995,10,Inf,1,inches,pounds,1,2.669,1.16332
Liquidambar,styraciflua,clark_et_al_1995,10,28,1,inches,pounds,1,1.69699,1.27523
Liquidambar,styraciflua,clark_et_al_1995,28,Inf,1,inches,pounds,1,1.68032,1.27729
Lireodendron,tulipfera,clark_et_al_1995,10,28,1,inches,pounds,1,1.23262,1.3195
Lireodendron,tulipfera,clark_et_al_1995,28,Inf,1,inches,pounds,1,2.24272,1.19469
Nyssa,aquatica,muzika_et_al_1987,10,Inf,1,centimeters,kilograms,2,2.291,-0.919
Nyssa,sylvatica,clark_et_al_1995,10,28,1,inches,pounds,1,2.43427,1.16974
Nyssa,sylvatica,clark_et_al_1995,28,Inf,1,inches,pounds,1,1.30697,1.29943
Pinus,taeda,mcleod_personal_communication,10,Inf,1,centimeters,kilograms,2,2.59,1.56
Pinus,taeda,mcleod_personal_communication,10,Inf,2,centimeters,kilograms,2,2.01,1.57
Quercus,alba,clark_et_al_1995,10,28,1,inches,pounds,1,2.20767,1.26916
Quercus,alba,clark_et_al_1995,28,Inf,1,inches,pounds,1,1.56965,1.34028
Quercus,laurifolia,clark_et_al_1995,10,28,1,inches,pounds,1,2.89221,1.21296
Quercus,laurifolia,clark_et_al_1995,28,Inf,1,inches,pounds,1,10.22597,0.94962
Quercus,lyrata,schlaegel_1984b,10,Inf,1,inches,pounds,3,1.25829,0.486
Quercus,nigra,clark_et_al_1995,10,28,1,inches,pounds,1,3.15067,1.21955
Quercus,nigra,clark_et_al_1995,28,Inf,1,inches,pounds,1,5.99898,1.08527
Quercus,nuttalli,shlaegel_and_wilson_1983,10,Inf,1,inches,pounds,1,2.83658,2.38225
Quercus,spp,clark_et_al_1995,10,28,1,inches,pounds,1,2.97559,1.21433
Quercus,spp,clark_et_al_1995,28,Inf,1,inches,pounds,1,2.89492,1.22006
Taxodium,distichum,scott_et_al_1985,10,Inf,1,centimeters,kilograms,3,2.34,-0.97
Salix,nigra,NA,0,Inf,1,centimeters,kilograms,3,2.78,-1.5
Other,spp,clark_et_al_1995,10,28,1,inches,pounds,1,2.54671,1.20138
Other,spp,clark_et_al_1995,28,Inf,1,inches,pounds,1,1.80526,1.27313