Site Name,Location,Region,Salinity class,Measurement year,Method,Salinity (ppt),CH4 flux (g CH4 m-2 yr-1),Reference
Upland edge ,New Brunswick ,GOM,Polyhaline,1993,SC,23.5,1.3,Magenheimer et al. 1996
High marsh ,New Brunswick ,GOM,Euhaline,1993,SC,31.6,0.2,Magenheimer et al. 1996
Middle marsh ,New Brunswick ,GOM,Euhaline,1993,SC,33.7,0.2,Magenheimer et al. 1996
Low marsh ,New Brunswick ,GOM,Euhaline,1993,SC,35.1,0.2,Magenheimer et al. 1996
Dipper Harbour marsh - Control plots,New Brunswick ,GOM,Polyhaline,2011-2012,SC,23.7,0.2,Chmura et al. 2016
Kouchibouguac marsh  - Control plots,New Brunswick ,Gulf of St. Lawrence,Mesohaline,2011-2012,SC,13.7,0.0,Chmura et al. 2016
Creek Bank,Virginia,MAB,Polyhaline,1981-1983,SC,18.7,1.2,Bartlett et al. 1985
High marsh ,Virginia,MAB,Polyhaline,1981-1983,SC,22.6,0.4,Bartlett et al. 1985
Short Spartina ,Virginia,MAB,Polyhaline,1982-1983,SC,26.3,1.3,Bartlett et al. 1985
Site 1 ,Virginia,MAB,Mesohaline,1983-1984,SC,5.1,18.2,Bartlett et al. 1987
Site 2,Virginia,MAB,Mesohaline,1983-1984,SC,12.8,22.4,Bartlett et al. 1987
Site 3,Virginia,MAB,Mesohaline,1983-1984,SC,16.6,5.6,Bartlett et al. 1987
Sweet Hall ,Virginia,MAB,Fresh,1996-1997,SC,0.25,96,Neubauer et al. 2000
C3 Ambient CO2 ,Maryland,MAB,Mesohaline,1998-1999,SC,6.8,4.7,Marsh et al. 2005
C4 Ambient CO2 ,Maryland,MAB,Mesohaline,1998-1999,SC,6.8,3.3,Marsh et al. 2005
Tidal freshwater marsh,Delaware,MAB,Fresh,2007,SC,0.25,26.7,Weston et al. 2014
,Delaware,MAB,Fresh,2008,SC,0.25,32.0,Weston et al. 2014
Oligohaline marsh,Delaware,MAB,Oligohaline,2007,SC,2.5,164.0,Weston et al. 2014
,Delaware,MAB,Oligohaline,2008,SC,2.5,116.0,Weston et al. 2014
Mesohaline marsh,Delaware,MAB,Mesohaline,2007,SC,10,-6.7,Weston et al. 2014
,Delaware,MAB,Mesohaline,2008,SC,10,-2.7,Weston et al. 2014
Wildlife ,Maryland ,MAB,Mesohaline,2008,SC,11.6,30.6,Poffenbarger et al. 2011
Barbados ,Maryland ,MAB,Mesohaline,2008,SC,12.9,32,Poffenbarger et al. 2011
Meadowlands Mitigation Bank - Vegetated low marsh,New Jersey ,MAB,Mesohaline,2012,SC,5,5.8,Reid et al. 2013
Meadowlands Mitigation Bank - Mud flat,New Jersey ,MAB,Mesohaline,2012,SC,5,5.1,Reid et al. 2013
Fox Creek Marsh,Maryland,MAB,Mesohaline,2013-2014,SC,10,105.5,Mueller et al. 2016
,Maryland,MAB,Mesohaline,2013-2014,SC,10,5.2,Mueller et al. 2016
,Maryland,MAB,Mesohaline,2013-2014,SC,10,1.0,Mueller et al. 2016
Kirkpatrick Marsh,Maryland,MAB,Mesohaline,2013-2014,SC,10,13.5,Mueller et al. 2016
,Maryland,MAB,Mesohaline,2013-2014,SC,10,4.5,Mueller et al. 2016
,Maryland,MAB,Mesohaline,2013-2014,SC,10,3.1,Mueller et al. 2016
GI Near Bank ,North Carolina ,SAB,Fresh,1990-1991,SC,0.25,8.2,Kelley et al. 1995
GI Far Bank,North Carolina ,SAB,Fresh,1990-1991,SC,0.25,5.7,Kelley et al. 1995
UF Near Bank ,North Carolina ,SAB,Fresh,1990-1991,SC,0.25,5.1,Kelley et al. 1995
UF Far Bank ,North Carolina ,SAB,Fresh,1990-1991,SC,0.25,3.5,Kelley et al. 1995
Lower site ,North Carolina ,SAB,Fresh,1994-1995,SC,0.25,1.3,Megonigal and Schlesinger 2002
Upper site ,North Carolina ,SAB,Fresh,1994-1995,SC,0.25,1.8,Megonigal and Schlesinger 2002
Upper,Georgia,SAB,Fresh,2006-2007,SC,0.2,1.1,Krauss and Whitbeck 2012
Middle,Georgia,SAB,Oligohaline,2006-2007,SC,1.3,1.32,Krauss and Whitbeck 2012
Lower,Georgia,SAB,Oligohaline,2006-2007,SC,4.7,1.36,Krauss and Whitbeck 2012
Georgia Coastal Ecosystems LTER ,Georgia,SAB,Fresh,2008-2009,SC,1,93,Segerra et al. 2013
Brookgreen Gardens - Control treatment,South Carolina ,SAB,Fresh,2009,SC,0.05,56.0,Neubauer 2013
Fresh ,Louisianna,GMx,Fresh,1980-1981,SC,0.4,213.3,DeLaune et al. 1983
Brackish,Louisianna,GMx,Oligohaline,1980-1981,SC,1.8,97.3,DeLaune et al. 1983
Salt Marsh,Louisianna,GMx,Polyhaline,1980-1981,SC,18.1,5.7,DeLaune et al. 1983
Brackish marsh,Louisianna,GMx,Mesohaline,2012,EC,9.15,13.8,Holm et al. 2016
Freshwater marsh,Louisianna,GMx,Fresh,2012,EC,0.23,63.0,Holm et al. 2016
,Louisianna,GMx,Fresh,2013,EC,0.23,61.6,Holm et al. 2016
Brackish marsh,Louisianna,GMx,Mesohaline,2012-2013,EC,9.15,14.8,Krauss et al. 2016 JGR
,Louisianna,GMx,Mesohaline,2012-2013,SC,9.15,66.1,Krauss et al. 2016 JGR
Freshwater marsh,Louisianna,GMx,Fresh,2012-2013,EC,0.23,62.8,Krauss et al. 2016 JGR
,Louisianna,GMx,Fresh,2012-2013,SC,0.23,122.5,Krauss et al. 2016 JGR
Week’s Bay ,Alabama,GMx,Oligohaline,2012-2013,SC,2.3,10.5,Wilson et al. 2015
Dog River ,Alabama,GMx,Oligohaline,2012-2013,SC,4.7,5.3,Wilson et al. 2015
Dauphin Island ,Alabama,GMx,Polyhaline,2012-2013,SC,20.7,5.7,Wilson et al. 2015