Map,HID,MID,LID,OSD,CULT,PAST,GRS,DEC,EVR,MIX,SS,PFW,PSS,PEM,EFW,ESS,EEM,UCS,BARE,OW,PAB,EAB,SNOW
HID,289,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
MID,28,297,11,6,1,0,5,0,0,0,2,0,0,1,0,0,0,0,9,0,0,0,0
LID,1,13,325,22,5,6,9,3,4,1,2,2,1,1,0,0,1,0,8,4,0,0,0
OSD,0,1,1,310,2,7,22,5,1,4,11,5,1,2,0,0,0,0,5,0,0,0,0
CULT,0,1,2,16,455,22,21,3,3,1,12,2,1,5,0,0,0,0,4,0,0,0,0
PAST,0,1,4,18,43,305,25,4,1,1,13,0,0,3,0,0,0,0,0,0,0,0,0
GRS,1,1,2,9,21,13,455,12,9,5,25,1,1,5,0,0,0,0,5,1,0,0,0
DEC,0,0,1,1,1,3,4,493,12,17,17,4,1,3,0,0,0,0,0,0,0,0,0
EVR,0,0,0,2,0,0,0,3,577,17,21,3,2,0,0,0,0,0,1,0,0,0,1
MIX,0,0,0,0,0,1,2,14,25,320,15,2,0,0,0,0,0,0,0,0,0,0,0
SS,0,0,1,3,3,10,33,44,49,39,578,8,9,4,0,0,0,0,7,0,0,0,0
PFW,0,0,2,1,4,0,2,0,5,1,2,426,14,5,0,0,0,0,0,3,0,0,0
PSS,0,0,0,1,2,1,3,2,1,2,9,37,300,17,0,0,1,1,0,1,0,0,0
PEM,0,0,0,0,4,4,6,0,1,0,1,8,15,313,0,1,4,4,6,6,3,0,0
EFW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0
ESS,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,28,7,0,0,0,0,0,0
EEM,0,0,0,0,1,0,1,1,0,0,0,2,1,9,0,0,171,1,0,3,0,0,0
UCS,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,167,4,39,0,1,0
BARE,0,1,0,6,9,7,12,2,6,0,7,1,0,2,0,0,0,1,284,4,0,0,0
OW,0,0,1,0,1,1,0,1,0,1,1,2,0,3,0,0,1,0,1,500,0,1,0
PAB,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,3,0,11,59,3,0
EAB,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,1,108,0
SNOW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,26